,ActivityDate,TotalSteps,Calories
97,4/17/2016,4525,1793
98,4/18/2016,4597,1814
99,4/19/2016,197,1366
100,4/20/2016,8,1349
101,4/21/2016,8054,2062
102,4/22/2016,5372,1827
103,4/23/2016,3570,1645
104,4/24/2016,0,1347
105,4/25/2016,0,1347
106,4/26/2016,0,1347
107,4/27/2016,4,1348
108,4/28/2016,6907,1992
109,4/29/2016,4920,1856
110,4/30/2016,4014,1763
111,5/1/2016,2573,1541
112,5/2/2016,0,1348
113,5/3/2016,4059,1742
114,5/4/2016,2080,1549
115,5/5/2016,2237,1589
116,5/6/2016,44,1351
117,5/7/2016,0,1347
118,5/8/2016,0,1347
119,5/9/2016,0,1347
120,5/10/2016,0,1347
121,5/11/2016,0,1347
122,5/12/2016,0,665
123,4/12/2016,678,2220
124,4/13/2016,356,2151
125,4/14/2016,2163,2383
126,4/15/2016,980,2221
127,4/16/2016,0,2064
128,4/17/2016,0,2063
129,4/18/2016,244,2111
130,4/19/2016,0,2063
131,4/20/2016,0,2063
132,4/21/2016,0,2064
133,4/22/2016,149,2093
134,4/23/2016,2945,2499
135,4/24/2016,2090,2324
136,4/25/2016,152,2100
137,4/26/2016,3761,2638
138,4/27/2016,0,2063
139,4/28/2016,1675,2351
140,4/29/2016,0,2063
141,4/30/2016,0,2064
142,5/1/2016,2704,2411
143,5/2/2016,3790,2505
144,5/3/2016,1326,2195
145,5/4/2016,1786,2338
146,5/5/2016,0,2063
147,5/6/2016,2091,2383
148,5/7/2016,1510,2229
149,5/8/2016,0,2063
150,5/9/2016,0,2063
151,5/10/2016,0,2063
152,5/11/2016,0,2063
153,5/12/2016,0,1383
154,4/12/2016,11875,2390
155,4/13/2016,12024,2601
156,4/14/2016,10690,2312
157,4/15/2016,11034,2525
158,4/16/2016,10100,2177
159,4/17/2016,15112,2782
160,4/18/2016,14131,2770
161,4/19/2016,11548,2489
162,4/20/2016,15112,2897
163,4/21/2016,12453,3158
164,4/22/2016,12954,2638
165,4/23/2016,6001,2069
166,4/24/2016,13481,2529
167,4/25/2016,11369,2470
168,4/26/2016,10119,2793
169,4/27/2016,10159,2463
170,4/28/2016,10140,2296
171,4/29/2016,10245,2611
172,4/30/2016,18387,2732
173,5/1/2016,10538,2380
174,5/2/2016,10379,2473
175,5/3/2016,12183,2752
176,5/4/2016,11768,2649
177,5/5/2016,11895,2609
178,5/6/2016,10227,2498
179,5/7/2016,6708,1995
180,5/8/2016,3292,1848
181,5/9/2016,13379,2709
182,5/10/2016,12798,2797
183,5/11/2016,13272,2544
184,5/12/2016,9117,1853
185,4/12/2016,4414,1459
186,4/13/2016,4993,1521
187,4/14/2016,3335,1431
188,4/15/2016,3821,1444
189,4/16/2016,2547,1373
190,4/17/2016,838,1214
191,4/18/2016,3325,1419
192,4/19/2016,2424,1356
193,4/20/2016,7222,1667
194,4/21/2016,2467,1370
195,4/22/2016,2915,1399
196,4/23/2016,12357,1916
197,4/24/2016,3490,1401
198,4/25/2016,6017,1576
199,4/26/2016,5933,1595
200,4/27/2016,6088,1593
201,4/28/2016,6375,1649
202,4/29/2016,7604,1692
203,4/30/2016,4729,1506
204,5/1/2016,3609,1447
205,5/2/2016,7018,1690
206,5/3/2016,5992,1604
207,5/4/2016,6564,1658
208,5/5/2016,12167,1926
209,5/6/2016,8198,1736
210,5/7/2016,4193,1491
211,5/8/2016,5528,1555
212,5/9/2016,10685,1869
213,5/10/2016,254,1141
214,5/11/2016,8580,1698
215,5/12/2016,8891,1364
216,4/12/2016,10725,2124
217,4/13/2016,7275,2003
218,4/14/2016,3973,1696
219,4/15/2016,5205,1801
220,4/16/2016,5057,1724
221,4/17/2016,6198,1852
222,4/18/2016,6559,1905
223,4/19/2016,5997,1811
224,4/20/2016,7192,1922
225,4/21/2016,3404,1610
226,4/22/2016,5583,1851
227,4/23/2016,5079,1804
228,4/24/2016,4165,1725
229,4/25/2016,3588,1654
230,4/26/2016,3409,1632
231,4/27/2016,1715,1481
232,4/28/2016,1532,1473
233,4/29/2016,924,1410
234,4/30/2016,4571,1779
235,5/1/2016,772,1403
236,5/2/2016,3634,1613
237,5/3/2016,7443,1878
238,5/4/2016,1201,1426
239,5/5/2016,5202,1780
240,5/6/2016,4878,1742
241,5/7/2016,7379,1972
242,5/8/2016,5161,1821
243,5/9/2016,3090,1630
244,5/10/2016,6227,1899
245,5/11/2016,6424,1903
246,5/12/2016,2661,1125
247,4/12/2016,10113,2344
248,4/13/2016,10352,2038
249,4/14/2016,10129,2010
250,4/15/2016,10465,2133
251,4/16/2016,22244,2670
252,4/17/2016,5472,1882
253,4/18/2016,8247,1944
254,4/19/2016,6711,2346
255,4/20/2016,10999,2198
256,4/21/2016,10080,2048
257,4/22/2016,7804,1946
258,4/23/2016,16901,2629
259,4/24/2016,9471,2187
260,4/25/2016,9482,2095
261,4/26/2016,5980,1861
262,4/27/2016,11423,2194
263,4/28/2016,5439,1854
264,4/29/2016,42,403
265,4/12/2016,8796,1982
266,4/13/2016,7618,2004
267,4/14/2016,7910,1893
268,4/15/2016,8482,2063
269,4/16/2016,9685,2148
270,4/17/2016,2524,1529
271,4/18/2016,7762,1890
272,4/19/2016,7948,1956
273,4/20/2016,9202,2094
274,4/21/2016,8859,1970
275,4/22/2016,7286,2241
276,4/23/2016,9317,2021
277,4/24/2016,6873,1898
278,4/25/2016,7373,1907
279,4/26/2016,8242,1882
280,4/27/2016,3516,1966
281,4/28/2016,7913,1835
282,4/29/2016,7365,1780
283,4/30/2016,8452,1830
284,5/1/2016,7399,1739
285,5/2/2016,7525,1878
286,5/3/2016,7412,1906
287,5/4/2016,8278,2015
288,5/5/2016,8314,1971
289,5/6/2016,7063,1910
290,5/7/2016,4940,1897
291,5/8/2016,8168,2096
292,5/9/2016,7726,1906
293,5/10/2016,8275,1962
294,5/11/2016,6440,1826
295,5/12/2016,7566,1431
296,4/12/2016,4747,1788
297,4/13/2016,9715,2093
298,4/14/2016,8844,2065
299,4/15/2016,7451,1908
300,4/16/2016,6905,1908
301,4/17/2016,8199,1964
302,4/18/2016,6798,2014
303,4/19/2016,7711,1985
304,4/20/2016,4880,1867
305,4/21/2016,8857,2124
306,4/22/2016,3843,1669
307,4/23/2016,7396,1995
308,4/24/2016,6731,1921
309,4/25/2016,5995,2010
310,4/26/2016,8283,2057
311,4/27/2016,7904,2095
312,4/28/2016,5512,1972
313,4/29/2016,9135,2044
314,4/30/2016,5250,1946
315,5/1/2016,3077,1237
316,4/12/2016,8856,1450
317,4/13/2016,10035,1495
318,4/14/2016,7641,1433
319,4/15/2016,9010,1468
320,4/16/2016,13459,1625
321,4/17/2016,10415,1529
322,4/18/2016,11663,1584
323,4/19/2016,12414,1638
324,4/20/2016,11658,1554
325,4/21/2016,6093,1397
326,4/22/2016,8911,1481
327,4/23/2016,12058,1638
328,4/24/2016,14112,1655
329,4/25/2016,11177,1570
330,4/26/2016,11388,1551
331,4/27/2016,7193,1377
332,4/28/2016,7114,1407
333,4/29/2016,10645,1545
334,4/30/2016,13238,1650
335,5/1/2016,10414,1501
336,5/2/2016,16520,1760
337,5/3/2016,14335,1710
338,5/4/2016,13559,1628
339,5/5/2016,12312,1618
340,5/6/2016,11677,1590
341,5/7/2016,11550,1574
342,5/8/2016,13585,1633
343,5/9/2016,14687,1667
344,5/10/2016,13072,1630
345,5/11/2016,746,52
346,4/12/2016,8539,3654
347,4/13/2016,0,1981
348,4/14/2016,108,2011
349,4/15/2016,1882,2951
350,4/16/2016,1982,3051
351,4/17/2016,16,1990
352,4/18/2016,62,1995
353,4/19/2016,0,1980
354,4/20/2016,0,1980
355,4/21/2016,0,1980
356,4/22/2016,0,1980
357,4/23/2016,0,1980
358,4/24/2016,0,1980
359,4/25/2016,0,1980
360,4/26/2016,0,1980
361,4/27/2016,0,1980
362,4/28/2016,0,1980
363,4/29/2016,0,1980
364,4/30/2016,0,1980
365,5/1/2016,0,1980
366,5/2/2016,475,2207
367,5/3/2016,4496,2828
368,5/4/2016,10252,3879
369,5/5/2016,11728,3429
370,5/6/2016,4369,2704
371,5/7/2016,6132,2975
372,5/8/2016,5862,3089
373,5/9/2016,4556,2785
374,5/10/2016,5546,2926
375,5/11/2016,3689,2645
376,5/12/2016,590,1120
377,4/12/2016,5394,2286
378,4/13/2016,5974,2306
379,4/14/2016,0,1776
380,4/15/2016,3984,1527
381,4/12/2016,7753,2115
382,4/13/2016,8204,2135
383,4/14/2016,10210,2302
384,4/15/2016,5664,1985
385,4/16/2016,4744,1884
386,4/17/2016,29,1464
387,4/18/2016,2276,1632
388,4/19/2016,8925,2200
389,4/20/2016,8954,2220
390,4/21/2016,3702,1792
391,4/22/2016,4500,1886
392,4/23/2016,4935,1945
393,4/24/2016,4081,1880
394,4/25/2016,9259,2314
395,4/26/2016,9899,2236
396,4/27/2016,10780,2324
397,4/28/2016,10817,2367
398,4/29/2016,7990,2175
399,4/30/2016,8221,2092
400,5/1/2016,1251,1593
401,5/2/2016,9261,2270
402,5/3/2016,9648,2235
403,5/4/2016,10429,2282
404,5/5/2016,13658,2530
405,5/6/2016,9524,2266
406,5/7/2016,7937,2158
407,5/8/2016,3672,1792
408,5/9/2016,10378,2345
409,5/10/2016,9487,2260
410,5/11/2016,9129,2232
411,5/12/2016,17,257
412,4/12/2016,10122,2955
413,4/13/2016,10993,3092
414,4/14/2016,8863,2998
415,4/15/2016,8758,3066
416,4/16/2016,6580,3073
417,4/17/2016,4660,2572
418,4/18/2016,11009,3274
419,4/19/2016,10181,3015
420,4/20/2016,10553,3083
421,4/21/2016,10055,3069
422,4/22/2016,12139,3544
423,4/23/2016,13236,3306
424,4/24/2016,10243,2885
425,4/25/2016,12961,3288
426,4/26/2016,9461,2929
427,4/27/2016,11193,3074
428,4/28/2016,10074,2969
429,4/29/2016,9232,2979
430,4/30/2016,12533,3283
431,5/1/2016,10255,2926
432,5/2/2016,10096,3147
433,5/3/2016,12727,3290
434,5/4/2016,12375,3162
435,5/5/2016,9603,2899
436,5/6/2016,13175,3425
437,5/7/2016,22770,4022
438,5/8/2016,17298,3934
439,5/9/2016,10218,3013
440,5/10/2016,10299,3061
441,5/11/2016,10201,2954
442,5/12/2016,3369,1623
443,4/12/2016,3276,2113
444,4/13/2016,2961,2095
445,4/14/2016,3974,2194
446,4/15/2016,7198,2496
447,4/16/2016,3945,2180
448,4/17/2016,2268,1933
449,4/18/2016,6155,2248
450,4/19/2016,2064,1954
451,4/20/2016,2072,1974
452,4/21/2016,3809,2150
453,4/22/2016,6831,2432
454,4/23/2016,4363,2149
455,4/24/2016,5002,2247
456,4/25/2016,3385,2070
457,4/26/2016,6326,2291
458,4/27/2016,7243,2361
459,4/28/2016,4493,2203
460,4/29/2016,4676,2196
461,4/30/2016,6222,2363
462,5/1/2016,5232,2246
463,5/2/2016,6910,2336
464,5/3/2016,7502,2421
465,5/4/2016,2923,2070
466,5/5/2016,3800,2120
467,5/6/2016,4514,2211
468,5/7/2016,5183,2123
469,5/8/2016,7303,2423
470,5/9/2016,5275,2281
471,5/10/2016,3915,2181
472,5/11/2016,9105,2499
473,5/12/2016,768,1212
474,4/12/2016,5135,1909
475,4/13/2016,4978,1722
476,4/14/2016,6799,1922
477,4/15/2016,7795,2121
478,4/16/2016,7289,1997
479,4/17/2016,9634,2117
480,4/18/2016,8940,2116
481,4/19/2016,5401,1876
482,4/20/2016,4803,1788
483,4/21/2016,13743,2486
484,4/22/2016,9601,2094
485,4/23/2016,6890,2085
486,4/24/2016,8563,2173
487,4/25/2016,8095,2225
488,4/26/2016,9148,2223
489,4/27/2016,9557,2098
490,4/28/2016,9451,2185
491,4/29/2016,7833,1918
492,4/30/2016,10319,2105
493,5/1/2016,3428,1692
494,5/2/2016,7891,2066
495,5/3/2016,5267,1953
496,5/4/2016,5232,1842
497,5/5/2016,10611,2262
498,5/6/2016,3755,1722
499,5/7/2016,8237,1973
500,5/8/2016,6543,2666
501,5/9/2016,11451,2223
502,5/10/2016,6435,1889
503,5/11/2016,9108,2131
504,5/12/2016,6307,1452
505,4/12/2016,7213,2947
506,4/13/2016,6877,2898
507,4/14/2016,7860,2984
508,4/15/2016,6506,2896
509,4/16/2016,11140,3328
510,4/17/2016,12692,3394
511,4/18/2016,9105,3013
512,4/19/2016,6708,2812
513,4/20/2016,8793,3061
514,4/21/2016,6530,2729
515,4/22/2016,1664,2241
516,4/23/2016,15126,3691
517,4/24/2016,15050,3538
518,4/25/2016,9167,3064
519,4/26/2016,6108,2784
520,4/27/2016,7047,2908
521,4/28/2016,9023,3033
522,4/29/2016,9930,3165
523,4/30/2016,10144,3115
524,5/1/2016,0,2017
525,5/2/2016,7245,2859
526,5/3/2016,9454,3145
527,5/4/2016,8161,3004
528,5/5/2016,8614,3006
529,5/6/2016,6943,2859
530,5/7/2016,14370,3683
531,5/8/2016,12857,3287
532,5/9/2016,8232,2990
533,5/10/2016,10613,3172
534,5/11/2016,9810,3069
535,5/12/2016,2752,1240
536,4/12/2016,11596,2026
537,4/13/2016,4832,1718
538,4/14/2016,17022,2324
539,4/15/2016,16556,2254
540,4/16/2016,5771,1831
541,4/17/2016,655,1397
542,4/18/2016,3727,1683
543,4/19/2016,15482,2284
544,4/20/2016,2713,1570
545,4/21/2016,12346,2066
546,4/22/2016,11682,2105
547,4/23/2016,4112,1776
548,4/24/2016,1807,1507
549,4/25/2016,10946,2033
550,4/26/2016,11886,2093
551,4/27/2016,10538,1922
552,4/28/2016,11393,1999
553,4/29/2016,12764,2169
554,4/30/2016,1202,1463
555,5/1/2016,5164,1747
556,5/2/2016,9769,1996
557,5/3/2016,12848,2116
558,5/4/2016,4249,1698
559,5/5/2016,14331,2156
560,5/6/2016,9632,1916
561,5/7/2016,1868,1494
562,5/8/2016,6083,1762
563,5/9/2016,11611,2272
564,5/10/2016,16358,2335
565,5/11/2016,4926,1693
566,5/12/2016,3121,741
567,4/12/2016,8135,3405
568,4/13/2016,5077,2551
569,4/14/2016,8596,4022
570,4/15/2016,12087,4005
571,4/16/2016,14269,4274
572,4/17/2016,12231,4552
573,4/18/2016,9893,3625
574,4/19/2016,12574,3501
575,4/20/2016,8330,3192
576,4/21/2016,10830,4018
577,4/22/2016,9172,3329
578,4/23/2016,7638,3152
579,4/24/2016,15764,4392
580,4/25/2016,6393,3374
581,4/26/2016,5325,3088
582,4/27/2016,6805,3294
583,4/28/2016,9841,3580
584,4/29/2016,7924,3544
585,4/30/2016,12363,4501
586,5/1/2016,13368,4546
587,5/2/2016,7439,3014
588,5/3/2016,11045,3795
589,5/4/2016,5206,2755
590,5/5/2016,7550,3004
591,5/6/2016,4950,2643
592,5/7/2016,0,1819
593,5/8/2016,0,1819
594,5/9/2016,3421,2489
595,5/10/2016,8869,3841
596,5/11/2016,4038,1665
597,4/12/2016,0,1496
598,4/13/2016,0,1496
599,4/14/2016,0,1496
600,4/15/2016,14019,2865
601,4/16/2016,14450,2828
602,4/17/2016,7150,2225
603,4/18/2016,5153,2018
604,4/19/2016,11135,2606
605,4/20/2016,10449,2536
606,4/21/2016,19542,4900
607,4/22/2016,8206,2409
608,4/23/2016,11495,2651
609,4/24/2016,7623,2305
610,4/25/2016,0,1497
611,4/26/2016,9543,2450
612,4/27/2016,9411,2576
613,4/28/2016,3403,1879
614,4/29/2016,9592,2560
615,4/30/2016,6987,2275
616,5/1/2016,8915,2361
617,5/2/2016,4933,2044
618,5/3/2016,0,1496
619,5/4/2016,2997,1902
620,5/5/2016,9799,2636
621,5/6/2016,3365,1838
622,5/7/2016,7336,2469
623,5/8/2016,7328,2250
624,5/9/2016,4477,1248
625,4/12/2016,4562,2560
626,4/13/2016,7142,2905
627,4/14/2016,7671,2952
628,4/15/2016,9501,2896
629,4/16/2016,8301,2783
630,4/17/2016,7851,3171
631,4/18/2016,6885,2766
632,4/19/2016,7142,2839
633,4/20/2016,6361,2701
634,4/21/2016,0,2060
635,4/22/2016,6238,2796
636,4/23/2016,0,2664
637,4/24/2016,5896,2703
638,4/25/2016,7802,2771
639,4/26/2016,0,2060
640,4/27/2016,5565,2743
641,4/28/2016,5731,2687
642,4/29/2016,0,2060
643,4/30/2016,6744,2843
644,5/1/2016,9837,3327
645,5/2/2016,6781,2725
646,5/3/2016,6047,2671
647,5/4/2016,5832,2718
648,5/5/2016,6339,2682
649,5/6/2016,6116,2806
650,5/7/2016,5510,2613
651,5/8/2016,7706,2712
652,5/9/2016,6277,2175
653,5/10/2016,0,0
654,4/12/2016,0,1841
655,4/13/2016,4053,2400
656,4/14/2016,5162,2507
657,4/15/2016,1282,2127
658,4/16/2016,4732,2225
659,4/17/2016,2497,2067
660,4/18/2016,8294,2798
661,4/19/2016,0,1841
662,4/20/2016,10771,3727
663,4/21/2016,0,1841
664,4/22/2016,637,1922
665,4/23/2016,0,1841
666,4/24/2016,2153,2053
667,4/25/2016,6474,2484
668,4/26/2016,7091,2584
669,4/27/2016,0,1841
670,4/28/2016,703,1993
671,4/29/2016,0,1841
672,4/30/2016,2503,2280
673,5/1/2016,2487,2319
674,5/2/2016,0,1841
675,5/3/2016,9,1843
676,5/4/2016,0,1841
677,5/5/2016,0,1841
678,5/6/2016,4697,2496
679,5/7/2016,1967,1032
680,4/12/2016,10199,1994
681,4/13/2016,5652,1718
682,4/14/2016,1551,1466
683,4/15/2016,5563,1756
684,4/16/2016,13217,2173
685,4/17/2016,10145,2027
686,4/18/2016,11404,2039
687,4/19/2016,10742,2046
688,4/20/2016,13928,2174
689,4/21/2016,11835,2179
690,4/22/2016,10725,2086
691,4/23/2016,20031,2571
692,4/24/2016,5029,1705
693,4/25/2016,13239,2194
694,4/26/2016,10433,2012
695,4/27/2016,10320,2034
696,4/28/2016,12627,2182
697,4/29/2016,10762,2254
698,4/30/2016,10081,2002
699,5/1/2016,5454,1740
700,5/2/2016,12912,2162
701,5/3/2016,12109,2072
702,5/4/2016,10147,2086
703,5/5/2016,10524,2066
704,5/6/2016,5908,1850
705,5/7/2016,6815,1947
706,5/8/2016,4188,1659
707,5/9/2016,12342,2105
708,5/10/2016,15448,2361
709,5/11/2016,6722,1855
710,5/12/2016,3587,928
711,4/12/2016,14172,2937
712,4/13/2016,12862,2742
713,4/14/2016,11179,2668
714,4/15/2016,5273,2098
715,4/16/2016,4631,2076
716,4/17/2016,8059,2383
717,4/18/2016,14816,2832
718,4/19/2016,14194,2812
719,4/20/2016,15566,3096
720,4/21/2016,13744,2763
721,4/22/2016,15299,2889
722,4/23/2016,8093,2284
723,4/24/2016,11085,2667
724,4/25/2016,18229,3055
725,4/26/2016,15090,2939
726,4/27/2016,13541,2830
727,4/28/2016,15128,2836
728,4/29/2016,20067,3180
729,4/30/2016,3761,2051
730,5/1/2016,5600,2225
731,5/2/2016,13041,2642
732,5/3/2016,14510,2976
733,5/4/2016,0,1557
734,5/5/2016,15010,2933
735,5/6/2016,11459,2553
736,5/7/2016,0,120
737,4/12/2016,11317,2772
738,4/13/2016,5813,2516
739,4/14/2016,9123,2734
740,4/15/2016,8585,2395
741,4/16/2016,31,1635
742,4/17/2016,0,1629
743,4/18/2016,9827,2743
744,4/19/2016,10688,2944
745,4/20/2016,14365,2997
746,4/21/2016,9469,2463
747,4/22/2016,9753,2846
748,4/23/2016,2817,1965
749,4/24/2016,3520,2049
750,4/25/2016,10091,2752
751,4/26/2016,10387,2781
752,4/27/2016,11107,2693
753,4/28/2016,11584,2862
754,4/29/2016,7881,2616
755,4/30/2016,14560,2995
756,5/1/2016,12390,2730
757,5/2/2016,10052,2754
758,5/3/2016,10288,2754
759,5/4/2016,10988,2655
760,5/5/2016,8564,2386
761,5/6/2016,12461,2924
762,5/7/2016,12827,2739
763,5/8/2016,10677,2534
764,5/9/2016,13566,2960
765,5/10/2016,14433,2800
766,5/11/2016,9572,2735
767,5/12/2016,3789,1199
768,4/12/2016,18060,3186
769,4/13/2016,16433,3140
770,4/14/2016,20159,3411
771,4/15/2016,20669,3410
772,4/16/2016,14549,2867
773,4/17/2016,18827,3213
774,4/18/2016,17076,3133
775,4/19/2016,15929,3114
776,4/20/2016,15108,3043
777,4/21/2016,16057,3103
778,4/22/2016,10520,2655
779,4/23/2016,22359,3554
780,4/24/2016,22988,3577
781,4/25/2016,20500,3403
782,4/26/2016,12685,2846
783,4/27/2016,12422,2852
784,4/28/2016,15447,3062
785,4/29/2016,12315,2794
786,4/30/2016,7135,2408
787,5/1/2016,1170,1886
788,5/2/2016,1969,1988
789,5/3/2016,15484,3023
790,5/4/2016,14581,2918
791,5/5/2016,14990,2950
792,5/6/2016,13953,2859
793,5/7/2016,19769,3331
794,5/8/2016,22026,3589
795,5/9/2016,12465,2765
796,5/10/2016,14810,2926
797,5/11/2016,12209,2809
798,5/12/2016,4998,1505
799,4/12/2016,9033,2044
800,4/13/2016,8053,1935
801,4/14/2016,5234,1705
802,4/15/2016,2672,1632
803,4/16/2016,9256,1880
804,4/17/2016,10204,2112
805,4/18/2016,5151,1829
806,4/19/2016,4212,1763
807,4/20/2016,6466,1931
808,4/21/2016,11268,2218
809,4/22/2016,2824,1651
810,4/23/2016,9282,2132
811,4/24/2016,8905,1976
812,4/25/2016,6829,1909
813,4/26/2016,4562,1813
814,4/27/2016,10232,2008
815,4/28/2016,2718,1580
816,4/29/2016,6260,1854
817,4/30/2016,0,0
818,4/12/2016,7626,3635
819,4/13/2016,12386,4079
820,4/14/2016,13318,4163
821,4/15/2016,14461,3666
822,4/16/2016,11207,3363
823,4/17/2016,2132,2572
824,4/18/2016,13630,4157
825,4/19/2016,13070,4092
826,4/20/2016,9388,3787
827,4/21/2016,15148,4236
828,4/22/2016,12200,4044
829,4/23/2016,5709,2908
830,4/24/2016,3703,2741
831,4/25/2016,12405,4005
832,4/26/2016,16208,3763
833,4/27/2016,7359,3061
834,4/28/2016,5417,2884
835,4/29/2016,6175,2982
836,4/30/2016,2946,2660
837,5/1/2016,11419,3369
838,5/2/2016,6064,3491
839,5/3/2016,8712,3784
840,5/4/2016,7875,3110
841,5/5/2016,8567,3783
842,5/6/2016,7045,3644
843,5/7/2016,4468,2799
844,5/8/2016,2943,2685
845,5/9/2016,8382,3721
846,5/10/2016,6582,3586
847,5/11/2016,9143,3788
848,5/12/2016,4561,1976
849,4/12/2016,5014,2650
850,4/13/2016,5571,2654
851,4/14/2016,3135,2443
852,4/15/2016,3430,2505
853,4/16/2016,5319,2693
854,4/17/2016,3008,2439
855,4/18/2016,3864,2536
856,4/19/2016,5697,2668
857,4/20/2016,5273,2647
858,4/21/2016,8538,2883
859,4/22/2016,8687,2944
860,4/23/2016,9423,3012
861,4/24/2016,8286,2889
862,4/25/2016,4503,2547
863,4/26/2016,10499,3093
864,4/27/2016,12474,3142
865,4/28/2016,6174,2757
866,4/29/2016,15168,3513
867,4/30/2016,10085,3164
868,5/1/2016,4512,2596
869,5/2/2016,8469,2894
870,5/3/2016,12015,3212
871,5/4/2016,3588,2516
872,5/5/2016,12427,3266
873,5/6/2016,5843,2683
874,5/7/2016,6117,2810
875,5/8/2016,9217,2940
876,5/9/2016,9877,2947
877,5/10/2016,8240,2846
878,5/11/2016,8701,2804
879,5/12/2016,0,0
880,4/12/2016,2564,2044
881,4/13/2016,1320,1934
882,4/14/2016,1219,1963
883,4/15/2016,2483,2009
884,4/16/2016,244,1721
885,4/17/2016,0,1688
886,4/18/2016,0,1688
887,4/19/2016,0,1688
888,4/20/2016,3147,2188
889,4/21/2016,144,1720
890,4/22/2016,4068,2419
891,4/23/2016,5245,2748
892,4/24/2016,400,1799
893,4/25/2016,0,1688
894,4/26/2016,1321,1928
895,4/27/2016,1758,2067
896,4/28/2016,6157,2780
897,4/29/2016,8360,3101
898,4/30/2016,7174,2896
899,5/1/2016,1619,1962
900,5/2/2016,1831,2015
901,5/3/2016,2421,2297
902,5/4/2016,2283,2067
903,5/5/2016,0,1688
904,5/6/2016,0,1688
905,5/7/2016,0,1688
906,5/8/2016,0,1688
907,5/9/2016,0,1688
908,5/10/2016,0,57
909,4/12/2016,23186,3921
910,4/13/2016,15337,3566
911,4/14/2016,21129,3793
912,4/15/2016,13422,3934
913,4/16/2016,29326,4547
914,4/17/2016,15118,3545
915,4/18/2016,11423,2761
916,4/19/2016,18785,3676
917,4/20/2016,19948,3679
918,4/21/2016,19377,3659
919,4/22/2016,18258,3427
920,4/23/2016,11200,3891
921,4/24/2016,16674,3455
922,4/25/2016,12986,3802
923,4/26/2016,11101,2860
924,4/27/2016,23629,3808
925,4/28/2016,14890,3060
926,4/29/2016,9733,2698
927,4/30/2016,27745,4398
928,5/1/2016,10930,2786
929,5/2/2016,4790,2189
930,5/3/2016,10818,2817
931,5/4/2016,18193,3477
932,5/5/2016,14055,3052
933,5/6/2016,21727,4015
934,5/7/2016,12332,4142
935,5/8/2016,10686,2847
936,5/9/2016,20226,3710
937,5/10/2016,10733,2832
